b0e19d24-fd12-4c21-bc73-6cb9351ca0a8	distilled	score-direction-auc-and-effective-weight,proxy-metric-contradicts-end-to-end,ucm221-single-scene-calibration-fragile	打分反号/代理vs真值/单场景标定
7b0f5574-d7d5-40e9-9f05-3fdac54578e1	distilled	ucm221-off-disk-uv-geometric-reject,cmake-defaults-break-makefile-flag-parity	出圆点根因+CMake参数对齐坑
dc63fb24-b5f6-455e-87c6-6bfc029de1eb	distilled	git-empty-commit-check-stdout-not-message	git容错从未生效的静默bug
2e76dde5-8715-4396-a5b8-2a998ae9b415	distilled	clangd-moved-source-stale-compile-db,ucm221-2ch-interferometer-bias-cal-cannot-remove	clangd插值失效+2ch偏置事实
8e6bf649-a112-4ed7-a3bb-5391e23931a0	distilled	eval-bench-replay-disagree-trust-replay,evo-cover-normalization-inverts-trigger-specificity	bench回放分歧+cover激励反转
fb616292-c015-42e4-9987-16229ad221f3	distilled	m1-neon-speedup-overestimates-cortex-a9	NEON位宽差异外推失真
0a908942-190f-4fef-b7db-437423af1169	distilled	kimi-glm-coding-endpoint-quirks	并入kimi端点草稿：掐断+重试
a522a07c-f185-4449-9fd7-d0f755c0b02f	distilled	ucm221-off-disk-uv-geometric-reject	并入出圆点草稿：静默clip假墙
0fe7c2be-cdd2-41a5-be17-e2cd31fe1740	distilled	kimi-glm-coding-endpoint-quirks	套餐key端点协议分流+死工具
d2f8d5b2-2b60-4913-958b-59d2f937ed95	distilled	pi-headless-batch-pitfalls	并入pi草稿：回调吞错+驱动器
de8100a7-0175-4e94-b5cf-9d23422b2368	distilled	pi-headless-batch-pitfalls	pi吞stdin+小包medium参数
d6a046b4-db37-4ab3-99d8-f18aa1a38c15	skip	-	一次性设计复核，已沉淀design文档
2d621583-b5c9-49b3-8b59-59ae246819da	distilled	ucm221-lab-to-field-transfer-check-coverage	现场迁移两查：覆盖+噪声地板
947a88d6-9895-44c8-a9ca-d8699ab44ff8	skip	-	一次性blueprint评审，无复用点
253e3346-4c15-4372-829d-5360cbe67d66	skip	-	单问单答+一次502，内容薄
ab799088-646c-4706-aad7-c2a3a0c0ccd8	skip	-	仅一条闲聊消息，无内容
aa6b452c-a44b-4fa3-ac3f-c3a61a462fc2	skip	-	空会话（仅hi）
7d050935-c747-4bfd-84c3-9faffd4ac22a	skip	-	仅续任务指令，无实质内容
