da720f38-036f-42ec-820d-ce8538a4fc1f	distilled	eval-negative-only-data-hides-overfiltering,feature-semantics-verify-against-physical-truth,quantized-grid-key-has-zero-tolerance	faf调试三缺陷均为可复用教训
8eefe3a4-9aa6-49b9-a019-8895ad7d83e6	distilled	adaptive-threshold-global-baseline-frozen	自适应阈值基线冻结(与da720f38合并)
9c7257e9-4890-48f8-b144-4f90a46031e3	distilled	radar-doppler-bin-wraparound-unroll-first,signed-value-diverging-colormap-zero-neutral	多普勒环绕+有符号色标两坑
7c4809cc-6484-46a8-ad6b-dc591541577a	distilled	prebuilt-lib-slot-verify-symbols-not-presence	预编译槽位漂移需nm验符号
b417294c-e36b-45ac-a400-4a60f30d3453	distilled	pyqtgraph-point-picking-click-vs-drag	3D点选拾取配方可复用
e1d54d8c-33d7-425d-88e3-901189f4090c	skip	-	已有13条playbook条目全覆盖
7cfa89db-27c9-4602-95b7-19a42c03a7e7	distilled	estimator-output-needs-confidence-flag	估计器缺置信标志的设计教训
06d00000-c5a0-4247-9e4a-de361d19d25e	distilled	thinking-model-max-tokens-must-cover-thinking	thinking吃满预算零输出(中断已有条目)
96b324ab-2f30-42f6-a16c-69d99d52c26c	distilled	kimi-coding-endpoint-anthropic-protocol-only	kimi端点协议事实(其余坑已有条目)
64181609-8d44-4e81-8fba-4fb21b13f7ce	distilled	design-review-deployment-readiness-four-gaps	部署就绪评审四维度方法论
b78d3e85-eb00-4f1c-82d9-d12ac9e1fbc7	skip	-	三条提案已在库(socksio等)
6d902687-ed52-4214-8b18-f012a5977428	skip	-	全为API错误无实质内容
b802cd9d-245d-4890-a6b2-10f5674a687a	skip	-	被中断无助手输出
6e8c3b5f-c536-4bce-b8f5-937a89375e89	skip	-	clangd两条已从此会话蒸馏
d6f040ef-58b7-479b-b7b1-828357cd275f	skip	-	字节闸门/POSIX预演已有条目
27a5e3a7-1b92-4c02-90d8-1476b2379ba7	skip	-	单轮k3可用性确认
556ec907-f248-46b8-baaf-80716cc7fe4b	skip	-	空会话
1e55398b-1d4c-4c14-85fa-bd9af2f0f169	skip	-	仅502网关错误
54a7366d-3af5-4228-b68c-aeb3b5fcd166	skip	-	仅配额用尽报错
